"","station_id","date","sinclair2017","post","affiliation","weekday","callsign","national_politics","t"
"1",4110,"6/16/2017",1,0,"ABC","Fri","KAEF",0.109226104142857,12
"2",4110,"6/23/2017",1,0,"ABC","Fri","KAEF",0.129260010428571,19
"3",4110,"6/30/2017",1,0,"ABC","Fri","KAEF",0.0944516234782609,26
"4",4110,"6/9/2017",1,0,"ABC","Fri","KAEF",0.153337166491228,5
"5",4110,"7/14/2017",1,0,"ABC","Fri","KAEF",0.102522988059701,40
"6",4110,"7/21/2017",1,0,"ABC","Fri","KAEF",0.0661709997101449,47
"7",4110,"7/28/2017",1,0,"ABC","Fri","KAEF",0.130083333188406,54
"8",4110,"7/7/2017",1,0,"ABC","Fri","KAEF",0.114285399710145,33
"9",4110,"8/11/2017",1,0,"ABC","Fri","KAEF",0.116817386811594,68
"10",4110,"8/18/2017",1,0,"ABC","Fri","KAEF",0.0572313601492537,75
"11",4110,"8/25/2017",1,0,"ABC","Fri","KAEF",0.0582403624285714,82
"12",4110,"8/4/2017",1,0,"ABC","Fri","KAEF",0.0825265357971015,61
"13",4110,"10/13/2017",1,1,"ABC","Fri","KAEF",0.0740928847761194,131
"14",4110,"10/20/2017",1,1,"ABC","Fri","KAEF",0.0724640734848485,138
"15",4110,"10/27/2017",1,1,"ABC","Fri","KAEF",0.179681872058824,145
"16",4110,"10/6/2017",1,1,"ABC","Fri","KAEF",0.183240607142857,124
"17",4110,"11/10/2017",1,1,"ABC","Fri","KAEF",0.143216074366197,159
"18",4110,"11/17/2017",1,1,"ABC","Fri","KAEF",0.158731436428571,166
"19",4110,"11/24/2017",1,1,"ABC","Fri","KAEF",0.10759939238806,173
"20",4110,"11/3/2017",1,1,"ABC","Fri","KAEF",0.168637659558824,152
"21",4110,"12/1/2017",1,1,"ABC","Fri","KAEF",0.263435608873239,180
"22",4110,"12/8/2017",1,1,"ABC","Fri","KAEF",0.109323441343284,187
"23",4110,"9/1/2017",1,1,"ABC","Fri","KAEF",0.0276827423076923,89
"24",4110,"9/15/2017",1,1,"ABC","Fri","KAEF",0.174184696842105,103
"25",4110,"9/22/2017",1,1,"ABC","Fri","KAEF",0.108652954328358,110
"26",4110,"9/29/2017",1,1,"ABC","Fri","KAEF",0.127027617647059,117
"27",4110,"9/8/2017",1,1,"ABC","Fri","KAEF",0.0426249572857143,96
"28",4110,"6/12/2017",1,0,"ABC","Mon","KAEF",0.148553035434783,8
"29",4110,"6/19/2017",1,0,"ABC","Mon","KAEF",0.0822783475714286,15
"30",4110,"6/26/2017",1,0,"ABC","Mon","KAEF",0.146934402428571,22
"31",4110,"7/10/2017",1,0,"ABC","Mon","KAEF",0.0465263387878788,36
"32",4110,"7/17/2017",1,0,"ABC","Mon","KAEF",0.0769407328358209,43
"33",4110,"7/24/2017",1,0,"ABC","Mon","KAEF",0.0505165920588235,50
"34",4110,"7/3/2017",1,0,"ABC","Mon","KAEF",0.120523339411765,29
"35",4110,"7/31/2017",1,0,"ABC","Mon","KAEF",0.115131602571429,57
"36",4110,"8/14/2017",1,0,"ABC","Mon","KAEF",0.158642867058824,71
"37",4110,"8/21/2017",1,0,"ABC","Mon","KAEF",0.246006946470588,78
"38",4110,"8/28/2017",1,0,"ABC","Mon","KAEF",0.0668594390277778,85
"39",4110,"8/7/2017",1,0,"ABC","Mon","KAEF",0.0937083139130435,64
"40",4110,"10/16/2017",1,1,"ABC","Mon","KAEF",0.119057787428571,134
"41",4110,"10/2/2017",1,1,"ABC","Mon","KAEF",0.0964177207246377,120
"42",4110,"10/23/2017",1,1,"ABC","Mon","KAEF",0.170687505571429,141
"43",4110,"10/30/2017",1,1,"ABC","Mon","KAEF",0.185771081617647,148
"44",4110,"10/9/2017",1,1,"ABC","Mon","KAEF",0.0373336608955224,127
"45",4110,"11/13/2017",1,1,"ABC","Mon","KAEF",0.148189131538462,162
"46",4110,"11/20/2017",1,1,"ABC","Mon","KAEF",0.136549652,169
"47",4110,"11/27/2017",1,1,"ABC","Mon","KAEF",0.163527673857143,176
"48",4110,"11/6/2017",1,1,"ABC","Mon","KAEF",0.143688523939394,155
"49",4110,"12/11/2017",1,1,"ABC","Mon","KAEF",0.15334287942029,190
"50",4110,"12/4/2017",1,1,"ABC","Mon","KAEF",0.230531473857143,183
"51",4110,"9/11/2017",1,1,"ABC","Mon","KAEF",0.0693552458208955,99
"52",4110,"9/18/2017",1,1,"ABC","Mon","KAEF",0.100932063787879,106
"53",4110,"9/25/2017",1,1,"ABC","Mon","KAEF",0.146916054492754,113
